                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98944,                 2.3197,                 1.2803,                0.67864,                0.63308,                0.68821,                 0.4798,                0.98322,                 1.6538,                 1.2219,             0.00013887,             0.00013887,             0.00013887
                      2,                0.97925,                 1.6495,                 1.2781,                0.72096,                0.69975,                0.75649,                0.53766,                0.96382,                 1.4027,                 1.2011,             0.00014032,             0.00014032,             0.00014032
